Wavelength (nm),EQE (%),SR (A/W)
300.0,6.40443,0.015284026677854794
310.0,15.363965,0.037887025795185714
320.0,27.448592,0.06987054080192606
330.0,38.707353,0.10160943247106669
340.0,46.401126,0.12549670411079625
350.0,52.285412,0.14557061356036208
360.0,56.314638,0.16126793531262934
370.0,59.827926,0.17608836131035563
380.0,64.152549,0.19392021896006575
390.0,66.398344,0.20599060517864654
400.0,67.439855,0.21458595906511485
410.0,68.500577,0.22341015413837004
420.0,69.16504,0.2310792930490071
430.0,71.083656,0.24314376096103305
440.0,73.190343,0.2561719264570709
450.0,74.189825,0.2655711836505706
460.0,74.568841,0.27285957817284673
470.0,75.64252,0.2828062787226685
480.0,76.854673,0.2934513394459604
490.0,77.781121,0.303176103499976
500.0,78.023235,0.31032640420263935
510.0,77.653221,0.31503145791373116
520.0,76.662073,0.31710878351447735
530.0,76.647889,0.3231474289692581
540.0,76.874726,0.33021881891785704
550.0,77.892472,0.34078694165593615
560.0,78.230807,0.3484896176370506
570.0,77.905304,0.35323708587845204
580.0,76.730392,0.3540133704215609
590.0,75.117799,0.35254858954923984
600.0,73.106283,0.34892362678440497
610.0,70.342558,0.3413284667057033
620.0,67.179539,0.33132455585918485
630.0,63.695838,0.31920978234144287
640.0,59.752511,0.3042009569183878
650.0,55.478896,0.2868573595594513
660.0,51.203667,0.2688252658713026
670.0,46.640394,0.248577752762795
680.0,41.450955,0.22421701659867885
690.0,36.832023,0.20216146083766995
700.0,32.251141,0.17958410771540997
710.0,27.773748,0.1568617560825566
720.0,23.686612,0.13566238200314676
730.0,19.807782,0.11502228789316861
740.0,16.425285,0.09668737418629769
750.0,13.31523,0.07943945611666432
760.0,10.517734,0.06358628562511981
770.0,8.351042,0.05115093716899104
780.0,6.426648,0.03987557679760941
790.0,4.972813,0.031250631378366936
800.0,3.743522,0.02382315665205221
810.0,2.778457,0.017902877328368153
820.0,1.844224,0.012029944457122755
830.0,1.496773,0.00988258556214438
840.0,1.043535,0.006972751506018428
850.0,0.745666,0.0050414108002914395
860.0,0.512505,0.0035056102493124194
870.0,0.337068,0.0023327991670297897
880.0,0.213763,0.0014963451739468036
890.0,0.190253,0.0013474011256501871
900.0,0.130882,0.0009370652045151375
910.0,0.075741,0.0005484297407478068
920.0,0.042935,0.0003146566318319251
930.0,0.008685,6.41149876773515e-05
940.0,0.03874,0.0002899970211867899
950.0,0.01421,0.00010751590241278946
960.0,0.007615,5.819668112251906e-05
970.0,0.003054,2.367322621932979e-05
980.0,0.019345,0.0001509168171482274
990.0,0.022137,0.00017459004336755718
1000.0,0.015669,0.00012428443765148138
1010.0,0.027004,0.00021700457367718973
1020.0,0.025591,0.00020812711384494108
1030.0,0.025269,0.00020714072941913566
1040.0,0.001751,1.4795766387081118e-05
1050.0,0.033592,0.00028013317692873583
1060.0,0.044273,0.0003728533129544442
1070.0,0.029011,0.000246596106451352
1080.0,0.012108,0.00010357036470956783
1090.0,0.038193,0.00033142516707061704
1100.0,0.035367,0.00030972470970289806
1110.0,0.002919,2.5645995070940603e-05
1120.0,0.003229,2.8605148348356827e-05
1130.0,0.001827,1.6768535238691933e-05
1140.0,0.019709,0.00017853558107077883
1150.0,0.004152,3.84689926064109e-05
1160.0,0.014667,0.00013513466633534088
1170.0,0.004096,3.84689926064109e-05
1180.0,0.004137,3.84689926064109e-05
1190.0,0.020087,0.0001903721941804437
1200.0,0.014748,0.00014105297289017333
