Wavelength (nm),EQE (%),SR (A/W)
300.0,1.308921,0.003167
310.0,0.274985,0.000687
320.0,0.499706,0.00129
330.0,0.742055,0.001975
340.0,0.363342,0.000996
350.0,0.512129,0.001446
360.0,0.398763,0.001158
370.0,0.585227,0.001746
380.0,0.584461,0.001791
390.0,0.484385,0.001523
400.0,0.43502,0.001403
410.0,0.449656,0.001487
420.0,0.404648,0.001371
430.0,0.350713,0.001216
440.0,0.329513,0.001169
450.0,0.36962,0.001341
460.0,0.442005,0.00164
470.0,0.406619,0.001541
480.0,0.346672,0.001342
490.0,0.369975,0.001462
500.0,0.43759,0.001764
510.0,0.533491,0.002194
520.0,0.537355,0.002253
530.0,0.796454,0.003404
540.0,0.88737,0.003864
550.0,1.118177,0.00496
560.0,1.389204,0.006274
570.0,1.943893,0.008936
580.0,2.713283,0.012691
590.0,3.358167,0.015978
600.0,4.260394,0.020615
610.0,5.304013,0.026092
620.0,6.360484,0.031802
630.0,7.548962,0.038354
640.0,8.789015,0.045363
650.0,10.137906,0.053142
660.0,11.686443,0.062202
670.0,12.975045,0.070107
680.0,14.400851,0.078972
690.0,15.524693,0.086387
700.0,17.366364,0.098036
710.0,18.620379,0.106617
720.0,20.037369,0.116346
730.0,22.052862,0.129827
740.0,26.062652,0.155535
750.0,36.407267,0.220205
760.0,57.566479,0.352827
770.0,74.322562,0.461519
780.0,84.598809,0.532154
790.0,88.288445,0.562483
800.0,89.229588,0.575675
810.0,89.146933,0.582331
820.0,88.058693,0.582324
830.0,88.462733,0.59213
840.0,89.356387,0.605317
850.0,89.676375,0.614717
860.0,90.172022,0.625387
870.0,89.603564,0.62867
880.0,88.376975,0.627191
890.0,89.269411,0.640724
900.0,89.338874,0.648427
910.0,89.651845,0.657929
920.0,89.115537,0.66118
930.0,89.52607,0.671446
940.0,88.762749,0.672879
950.0,88.075009,0.674768
960.0,88.034129,0.681555
970.0,85.834063,0.671444
980.0,83.212579,0.657648
990.0,79.905611,0.637956
1000.0,77.214582,0.622698
1010.0,69.917085,0.569486
1020.0,65.267748,0.53688
1030.0,57.357993,0.476441
1040.0,50.127678,0.420426
1050.0,41.914873,0.354924
1060.0,35.164522,0.3006
1070.0,29.355075,0.253306
1080.0,24.218157,0.210932
1090.0,20.800722,0.182845
1100.0,17.513102,0.155358
1110.0,13.708269,0.122711
1120.0,12.014369,0.108517
1130.0,9.557518,0.087097
1140.0,7.37614,0.067813
1150.0,5.381226,0.049907
1160.0,3.557717,0.033282
1170.0,1.694475,0.015988
1180.0,0.849069,0.00808
1190.0,0.338155,0.003245
1200.0,0.236599,0.00229
