Wavelength (nm),EQE (%),SR (A/W)
300.0,19.271834,0.046625
310.0,25.034545,0.062586
320.0,30.290326,0.078169
330.0,35.646736,0.094866
340.0,37.551324,0.102963
350.0,41.552302,0.117285
360.0,46.004898,0.133563
370.0,52.539974,0.156773
380.0,59.109157,0.181141
390.0,61.912272,0.194724
400.0,63.036028,0.203342
410.0,63.510976,0.209996
420.0,63.917098,0.216493
430.0,64.146691,0.222444
440.0,64.260119,0.22802
450.0,64.397319,0.2337
460.0,65.700979,0.243729
470.0,66.320479,0.251376
480.0,67.262563,0.260371
490.0,68.46446,0.270545
500.0,69.808662,0.281487
510.0,71.567216,0.294349
520.0,73.680789,0.308984
530.0,75.600427,0.323131
540.0,76.486135,0.333085
550.0,77.584282,0.344124
560.0,78.730835,0.355559
570.0,79.207238,0.364098
580.0,79.343138,0.371121
590.0,79.447653,0.378017
600.0,79.038612,0.382445
610.0,79.07441,0.388995
620.0,79.332314,0.396662
630.0,79.379872,0.403301
640.0,78.411162,0.404703
650.0,78.173168,0.409779
660.0,77.358305,0.411746
670.0,76.921514,0.415624
680.0,75.844164,0.41592
690.0,75.284223,0.41892
700.0,74.929745,0.42299
710.0,73.511192,0.420911
720.0,72.369999,0.420213
730.0,70.276005,0.413722
740.0,66.86944,0.39906
750.0,56.88519,0.344064
760.0,33.72058,0.206675
770.0,16.468026,0.102261
780.0,4.342347,0.027315
790.0,1.505708,0.009593
800.0,0.687437,0.004435
