Wavelength (nm),EQE (%),SR (A/W)
300.0,0.118999,0.0002815197656890942
310.0,0.126213,0.00030888974290886725
320.0,0.190947,0.00048190709890528967
330.0,0.133613,0.00034798971036568586
340.0,0.103635,0.00027760976894341237
350.0,0.077837,0.0002150498210125025
360.0,0.113882,0.00032355223070517427
370.0,0.151539,0.0004418296322620506
380.0,0.124632,0.000373404689212618
390.0,0.102989,0.000316709736400231
400.0,0.095049,0.00030009225023108305
410.0,0.090056,0.00029129475755329884
420.0,0.080585,0.00026685727789278724
430.0,0.084708,0.000287384760807617
440.0,0.073266,0.00025414978846932115
450.0,0.088651,0.00031475473802739006
460.0,0.114888,0.0004164146534151185
470.0,0.102253,0.0003792696843311408
480.0,0.119257,0.00045160462412625527
490.0,0.108123,0.000417392152601539
500.0,0.119189,0.0004701771086682441
510.0,0.096514,0.000388067177008925
520.0,0.100029,0.0004095721591101752
530.0,0.123332,0.0005151420712435856
540.0,0.118931,0.0005063445785658014
550.0,0.103578,0.00044867212656699387
560.0,0.087854,0.000388067177008925
570.0,0.094404,0.0004242346469064822
580.0,0.126202,0.000576724519988075
590.0,0.144734,0.0006734969394437011
600.0,0.126839,0.0006001845004621661
610.0,0.113928,0.0005473995443954608
620.0,0.139653,0.0006822944321214853
630.0,0.13292,0.0006598119508338145
640.0,0.167558,0.0008455367962537031
650.0,0.161548,0.0008279418108981347
660.0,0.162284,0.0008445592970672826
670.0,0.89215,0.004711546078546645
680.0,6.23723,0.03343438217232562
690.0,18.340972,0.09976258946688633
700.0,35.125825,0.19382929117450062
710.0,51.37598,0.2875499581701221
720.0,64.461162,0.3658691479845026
730.0,74.340391,0.4278015414377305
740.0,80.318437,0.46853491003505776
750.0,82.769338,0.4893566202050001
760.0,84.143744,0.5041158804207626
770.0,85.022392,0.5160824254609221
780.0,85.046307,0.5229317622601702
790.0,84.197283,0.5243481585812935
800.0,85.301529,0.5379490822611479
810.0,85.268426,0.5444621593402674
820.0,84.735376,0.5477387366131489
830.0,85.557169,0.5597952115784589
840.0,84.820559,0.561662235024522
850.0,84.865169,0.5686474442106826
860.0,84.02179,0.569620055901171
870.0,83.809388,0.5747861391014032
880.0,84.550505,0.5865347018229907
890.0,84.844935,0.5952657245560983
900.0,84.155563,0.5970633455599256
910.0,84.055382,0.6029781931369558
920.0,83.847424,0.6080963788770534
930.0,82.916389,0.6078803515568544
940.0,82.192246,0.6090504180829998
950.0,81.544997,0.6106828417243219
960.0,80.924211,0.6124130152842862
970.0,79.041248,0.6043945894580791
980.0,77.696275,0.6002343529206735
990.0,75.839204,0.591865982385728
1000.0,73.766529,0.5815054685088573
1010.0,71.175418,0.5666904908394689
1020.0,68.791304,0.5531315996246305
1030.0,64.81415,0.5262621019883047
1040.0,59.922188,0.49126469861689287
1050.0,55.018375,0.45539829846875307
1060.0,48.998878,0.40943628672326277
1070.0,42.829827,0.36126414931727585
1080.0,37.238486,0.3170371986276818
1090.0,32.72984,0.2812323809282866
1100.0,27.665152,0.2398949178337515
1110.0,22.972551,0.20101391019469103
1120.0,19.575929,0.1728365186469347
1130.0,15.33626,0.13661333129575148
1140.0,11.369992,0.10217896745571772
1150.0,8.012171,0.07263405454615914
1160.0,5.103929,0.046671676154831566
1170.0,2.489491,0.022961455889016744
1180.0,1.120442,0.010422096325615008
1190.0,0.486409,0.004562966202210735
1200.0,0.247993,0.002345998047409118
