Wavelength (nm),Irradiance (W/m^2/nm)
280.5,1.2300000000000002e-21
281.0,5.670000000000001e-21
281.5,1.56e-19
282.0,1.19e-18
282.5,4.53e-18
283.0,1.84e-17
283.5,3.53e-17
284.0,7.25e-16
284.5,2.48e-15
285.0,7.99e-15
285.5,4.25e-14
286.0,1.36e-13
286.5,8.36e-13
287.0,2.73e-12
287.5,1.09e-11
288.0,6.22e-11
288.5,1.71e-10
289.0,5.61e-10
289.5,2.07e-09
290.0,6e-09
290.5,1.37e-08
291.0,3.5e-08
291.5,1.09e-07
292.0,2.68e-07
292.5,4.26e-07
293.0,8.62e-07
293.5,2.26e-06
294.0,4.16e-06
294.5,6.57e-06
295.0,1.23e-05
295.5,2.77e-05
296.0,4.78e-05
296.5,7.11e-05
297.0,9.65e-05
297.5,0.000186
298.0,0.000289
298.5,0.000357
299.0,0.000491
299.5,0.000858
300.0,0.001
300.5,0.0012
301.0,0.0019
301.5,0.0027
302.0,0.0029
302.5,0.0043
303.0,0.0071
303.5,0.009
304.0,0.0094
304.5,0.0119
305.0,0.0164
305.5,0.0187
306.0,0.0185
306.5,0.021
307.0,0.0278
307.5,0.0355
308.0,0.0377
308.5,0.0413
309.0,0.0404
309.5,0.0432
310.0,0.0508
310.5,0.0653
311.0,0.0827
311.5,0.0838
312.0,0.0931
312.5,0.0987
313.0,0.107
313.5,0.1073
314.0,0.1193
314.5,0.1302
315.0,0.1359
315.5,0.118
316.0,0.1231
316.5,0.1499
317.0,0.1711
317.5,0.1819
318.0,0.1754
318.5,0.1854
319.0,0.2041
319.5,0.1953
320.0,0.2047
320.5,0.2445
321.0,0.2495
321.5,0.2377
322.0,0.2214
322.5,0.2165
323.0,0.2116
323.5,0.2479
324.0,0.2746
324.5,0.2824
325.0,0.2781
325.5,0.3234
326.0,0.3801
326.5,0.406
327.0,0.3969
327.5,0.3835
328.0,0.3501
328.5,0.3706
329.0,0.4211
329.5,0.4674
330.0,0.47
330.5,0.4268
331.0,0.4015
331.5,0.4168
332.0,0.435
332.5,0.4379
333.0,0.4282
333.5,0.4061
334.0,0.4138
334.5,0.4438
335.0,0.4625
335.5,0.4518
336.0,0.414
336.5,0.381
337.0,0.3727
337.5,0.3993
338.0,0.4329
338.5,0.4539
339.0,0.4622
339.5,0.4731
340.0,0.5003
340.5,0.4993
341.0,0.47
341.5,0.468
342.0,0.4879
342.5,0.5062
343.0,0.5134
343.5,0.4847
344.0,0.4172
344.5,0.4019
345.0,0.4576
345.5,0.4879
346.0,0.4764
346.5,0.4852
347.0,0.4926
347.5,0.4754
348.0,0.4737
348.5,0.482
349.0,0.4643
349.5,0.4767
350.0,0.5264
350.5,0.5658
351.0,0.5501
351.5,0.5287
352.0,0.5164
352.5,0.4882
353.0,0.5189
353.5,0.5706
354.0,0.6032
354.5,0.6098
355.0,0.6096
355.5,0.5886
356.0,0.5523
356.5,0.5179
357.0,0.4554
357.5,0.4608
358.0,0.4288
358.5,0.3981
359.0,0.4682
359.5,0.5639
360.0,0.5964
360.5,0.5637
361.0,0.5187
361.5,0.5081
362.0,0.5327
362.5,0.5834
363.0,0.6002
363.5,0.5837
364.0,0.6045
364.5,0.5988
365.0,0.6218
365.5,0.6843
366.0,0.7332
366.5,0.7344
367.0,0.7208
367.5,0.7071
368.0,0.6657
368.5,0.6612
369.0,0.6911
369.5,0.7425
370.0,0.7529
370.5,0.6806
371.0,0.6914
371.5,0.7184
372.0,0.6725
372.5,0.6407
373.0,0.6171
373.5,0.5562
374.0,0.5548
374.5,0.5507
375.0,0.5876
375.5,0.6497
376.0,0.6728
376.5,0.662
377.0,0.7102
377.5,0.7922
378.0,0.8535
378.5,0.8318
379.0,0.7417
379.5,0.6649
380.0,0.6987
380.5,0.7486
